CUSIP,subgroup,document_name,pdf_url,period_date,posted_date,CREDIT
012432DW,Audited Financial Statements or ACFR,Audited Financials for the year ended 06/30/2024 (986 KB),https://emma.msrb.org/P11796092-P11377507-P11815954.pdf,2024-06-30,10/22/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Audited Financial Statements or ACFR,Audited Financial Statement for the year ended 06/30/2024 (494 KB),https://emma.msrb.org/P11807819-P21421827-P11825424.pdf,2024-06-30,10/29/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Audited Financial Statements or ACFR,Audited Financial Statement for the year ended 06/30/2024 (204 KB),https://emma.msrb.org/P11807819-P21421827-P21865476.pdf,2024-06-30,10/29/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document9 (154 KB),https://emma.msrb.org/P11801611-P11381560-P11820477.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document8 (509 KB),https://emma.msrb.org/P11801611-P11381560-P11820476.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document7 (493 KB),https://emma.msrb.org/P11801611-P11381560-P11820475.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document6 (418 KB),https://emma.msrb.org/P11801611-P11381560-P11820474.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document5 (1.2 MB),https://emma.msrb.org/P11801611-P11381560-P11820473.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document4 (225 KB),https://emma.msrb.org/P11801611-P11381560-P11820472.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document3 (1.9 MB),https://emma.msrb.org/P11801611-P11381560-P11820471.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document2 (1 MB),https://emma.msrb.org/P11801611-P11381560-P11820470.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
012432DW,Financial Obligation - Incurrence or Agreement,Notice of Incurrence of Financial Obligation as of 11/11/2024 Document1 (700 KB),https://emma.msrb.org/P11801611-P11381560-P11820469.pdf,2024-11-11,11/11/2024,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES
469205LF,Financial Obligation - Incurrence or Agreement,JSU - Notice of Incurrence of Financial Obligation ($5MM) as of 08/19/2024 (3.4 MB),https://emma.msrb.org/P21838058-P21408764-P21851133.pdf,2024-08-19,08/19/2024,JACKSONVILLE STATE UNIVERSITY
469205LF,Financial Obligation - Incurrence or Agreement,JSU - Notice of Incurrence of Financial Obligation ($30MM) as of 08/19/2024 (4.5 MB),https://emma.msrb.org/P21838064-P21408769-P21851138.pdf,2024-08-19,08/19/2024,JACKSONVILLE STATE UNIVERSITY
