CUSIP,subgroup,document_name,pdf_url,period_date,posted_date,CREDIT
60636ANS,Annual Financial Information and Operating Data,Audited Financials and Operating Data for the year ended 06/30/2024 Document1 (561 KB),https://emma.msrb.org/P21874807-P21434222-P21879458.pdf,2024-06-30,12/19/2024,ST LOUIS UNIVERSITY/US
60636ANS,Annual Financial Information and Operating Data,Audited Financials and Operating Data for the year ended 06/30/2024 Document2 (174 KB),https://emma.msrb.org/P21874807-P21434222-P21879459.pdf,2024-06-30,12/19/2024,ST LOUIS UNIVERSITY/US
6460666J,Annual Financial Information and Operating Data,Annual Report for the year ended 06/30/2024 (216 KB),https://emma.msrb.org/P21870185-P21430712-P21875325.pdf,2024-06-30,12/11/2024,STEVENS INSTITUTE OF TECHNOLOGY
6460666J,Audited Financial Statements or ACFR,Audit Financial Statement for the year ended 06/30/2024 (626 KB),https://emma.msrb.org/P21870184-P21430711-P21875324.pdf,2024-06-30,12/11/2024,STEVENS INSTITUTE OF TECHNOLOGY
57421CBU,Other Financial / Operating Data,2024 Annual Compliance Certificate (EagleBank) for the year ended 06/30/2024 (3 MB),https://emma.msrb.org/P21871957-P21431940-P21876802.pdf,2024-06-30,12/17/2024,STEVENSON UNIVERSITY INC
57421CBU,Other Financial / Operating Data,2024 Annual Compliance Certificate for the year ended 06/30/2024 (2.8 MB),https://emma.msrb.org/P21871226-P21431469-P21876255.pdf,2024-06-30,12/16/2024,STEVENSON UNIVERSITY INC
13077C3T,Audited Financial Statements or ACFR,Exhibit 1 CSU Combined Financial Stmts 6-30-24 for the year ended 06/30/2024 (308 KB),https://emma.msrb.org/P21878315-P21436983-P21882690.pdf,2024-06-30,12/24/2024,CALIFORNIA STATE UNIVERSITY
13077C3T,Audited Financial Statements or ACFR,Exhibit 1 CSU Combined Financial Stmts 6-30-24 for the year ended 06/30/2024 (15.6 MB),https://emma.msrb.org/P21878315-P21436983-P21882691.pdf,2024-06-30,12/24/2024,CALIFORNIA STATE UNIVERSITY
13077C3T,Audited Financial Statements or ACFR,Exhibit 1 DRAFT UNAUDITED CSU Combined Financial Statements 6-30-24 for the year ended 06/30/2024 (298 KB),https://emma.msrb.org/P21874543-P21434010-P21879206.pdf,2024-06-30,12/19/2024,CALIFORNIA STATE UNIVERSITY
13077C3T,Audited Financial Statements or ACFR,Exhibit 1 DRAFT UNAUDITED CSU Combined Financial Statements 6-30-24 for the year ended 06/30/2024 (1.2 MB),https://emma.msrb.org/P21874543-P21434010-P21879207.pdf,2024-06-30,12/19/2024,CALIFORNIA STATE UNIVERSITY
355697CD,Annual Financial Information and Operating Data,Audited Annual Financials for the year ended 06/30/2024 Document2 (5 MB),https://emma.msrb.org/P21882506-P21434201-P21886196.pdf,2024-06-30,12/19/2024,MOUNT ST MARY'S UNIVERSITY INC
65000BW3,Annual Financial Information and Operating Data,2024 Operating Data for the year ended 06/30/2024 (109 KB),https://emma.msrb.org/P11799657-P11380074-P11818843.pdf,2024-06-30,11/06/2024,CORNELL UNIVERSITY
65000BW3,Audited Financial Statements or ACFR,2024 Audited Financial Statements for the year ended 06/30/2024 (788 KB),https://emma.msrb.org/P21922233-P21420440-P21919270.pdf,2024-06-30,10/24/2024,CORNELL UNIVERSITY
65000BW3,Other Financial / Operating Data,Incorporate OS by Reference as of 04/25/2024 (2.4 MB),https://emma.msrb.org/P21803413-P21383956-P21824019.pdf,2024-04-25,04/25/2024,CORNELL UNIVERSITY
267045PR,Annual Financial Information and Operating Data,2024 Annual Report - Corrected for the year ended 05/31/2024 (130 KB),https://emma.msrb.org/P11790595-P11373821-P11811978.pdf,2024-05-31,10/02/2024,CULINARY INSTITUTE OF AMERICA/THE
04048RXF,Annual Financial Information and Operating Data,FY 2024 Arizona State University Continuing Disclosure Undertaking for the year ended 06/30/2024 (160 KB),https://emma.msrb.org/P11817706-P11393124-P11833482.pdf,2024-06-30,01/17/2025,ARIZONA STATE UNIVERSITY
04048RXF,Audited Financial Statements or ACFR,FY 2024 Arizona State University Annual Comprehensive Financial Report for the year ended 06/30/2024 (4.1 MB),https://emma.msrb.org/P11817687-P11393113-P11833470.pdf,2024-06-30,01/17/2025,ARIZONA STATE UNIVERSITY
45204FNM,Audited Financial Statements or ACFR,Audited Financial Statements or ACFR (Rule 15c2-12) for FY24 for the year ended 05/31/2024 (541 KB),https://emma.msrb.org/P21862076-P21425162-P21869108.pdf,2024-05-31,11/26/2024,BRADLEY UNIVERSITY
45204FNM,Annual Financial Information and Operating Data,Annual Financial Information and Operating Data (Rule 15c2-12) for FY24 for the year ended 05/31/2024 (227 KB),https://emma.msrb.org/P21862068-P21425154-P21869099.pdf,2024-05-31,11/26/2024,BRADLEY UNIVERSITY
424682HY,Audited Financial Statements or ACFR,Financial Operating Filing for the year ended 06/30/2024 Document2 (142 KB),https://emma.msrb.org/P21874771-P21434198-P21879428.pdf,2024-06-30,12/19/2024,MOLLOY COLLEGE
77615NAP,Annual Financial Information and Operating Data,Continuing Disclosure for the year ended 06/30/2024 (298 KB),https://emma.msrb.org/P11819634-P11394595-P11835096.pdf,2024-06-30,01/23/2025,LEWIS UNIVERSITY
77615NAP,Audited Financial Statements or ACFR,Audited Financial Statements for the year ended 06/30/2024 (430 KB),https://emma.msrb.org/P11819630-P11394591-P11835092.pdf,2024-06-30,01/23/2025,LEWIS UNIVERSITY
267045PR,Annual Financial Information and Operating Data,2024 Annual Report for the year ended 05/31/2024 (129 KB),https://emma.msrb.org/P21848480-P21415960-P21858970.pdf,2024-05-31,09/26/2024,CULINARY INSTITUTE OF AMERICA/THE
594712TS,Annual Financial Information and Operating Data,Updates of Tables of Operating Information for the year ended 06/30/2024 Document1 (143 KB),https://emma.msrb.org/P21870300-P21430803-P21875438.pdf,2024-06-30,12/11/2024,MICHIGAN STATE UNIVERSITY
594712TS,Annual Financial Information and Operating Data,Updates of Tables of Operating Information for the year ended 06/30/2024 Document2 (8.4 MB),https://emma.msrb.org/P21870300-P21430803-P21875439.pdf,2024-06-30,12/11/2024,MICHIGAN STATE UNIVERSITY
424682HY,Audited Financial Statements or ACFR,Financial Operating Filing for the year ended 06/30/2024 Document1 (304 KB),https://emma.msrb.org/P21874771-P21434198-P21879427.pdf,2024-06-30,12/19/2024,MOLLOY COLLEGE
295435CR,Annual Financial Information and Operating Data,Continued Disclosures Fall 2024 for the year ended 06/30/2024 Document1 (203 KB),https://emma.msrb.org/P21859160-P21423095-P21866877.pdf,2024-06-30,10/31/2024,GANNON UNIVERSITY
267045PR,Audited Financial Statements or ACFR,2024 Audited Financial Statements for the year ended 05/31/2024 (277 KB),https://emma.msrb.org/P21848477-P21415958-P21858966.pdf,2024-05-31,09/26/2024,CULINARY INSTITUTE OF AMERICA/THE
355697CD,Annual Financial Information and Operating Data,Audited Annual Financials for the year ended 06/30/2024 Document1 (29.1 MB),https://emma.msrb.org/P21882506-P21434201-P21879431.pdf,2024-06-30,12/19/2024,MOUNT ST MARY'S UNIVERSITY INC
295435CR,Audited Financial Statements or ACFR,Audited Financial Statements for the year ended 06/30/2024 (786 KB),https://emma.msrb.org/P21859160-P21423095-P21866878.pdf,2024-06-30,10/31/2024,GANNON UNIVERSITY
